date,^GSPC,^DJI,^IXIC,^RUT,^STOXX,^FTSE,^STOXX50E,^GDAXI,^FCHI
2/7/20,3130.01,25827.36,10207.63,1431.86,368.29,6240.4,3320.09,12608.46,5049.38
3/7/20,,,,,365.43,6157.3,3294.38,12528.18,5007.14
6/7/20 0:00,3179.72,26287.03,10433.65,1442.88,371.21,6285.9,3350.03,12733.45,5081.51
7/7/20 0:00,3145.32,25890.18,10343.89,1416.0,368.96,6189.9,3321.56,12616.8,5043.73
8/7/20 0:00,3169.94,26067.28,10492.5,1427.4,366.48,6156.16,3286.09,12494.81,4981.13
9/7/20 0:00,3152.05,25706.09,10547.75,1398.92,363.64,6049.6,3261.17,12489.46,4921.01
10/7/20 0:00,3185.04,26075.3,10617.44,1422.68,366.83,6095.4,3296.22,12633.71,4970.48
13/7/20 0:00,3155.22,26085.8,10390.84,1403.57,370.5,6176.19,3350.0,12799.97,5056.23
14/7/20 0:00,3197.52,26642.59,10488.58,1428.26,367.4,6179.75,3321.39,12697.36,5007.46
15/7/20 0:00,3226.56,26870.1,10550.49,1478.27,373.87,6292.65,3378.21,12930.98,5108.98
16/7/20 0:00,3215.57,26734.71,10473.83,1467.56,372.13,6250.69,3365.35,12874.97,5085.28
17/7/20 0:00,3224.73,26671.95,10503.19,1473.32,372.71,6290.3,3365.6,12919.61,5069.42
2020-07-20 00:00:00,3251.84,26680.87,10767.09,1467.95,375.51,6261.52,3388.34,13046.92,5093.18
